question,answer
asked about control for sucking pests damage,recommended to spray rogor 2mllitre
asked about fusarium disease in bittergaurd,recommended to spray copper oxy chloride coc 3gm1 leter water
asked about control for the footrot disease,recommended to spray chlorothalanil 2mllitre and apply bottom of the stem with bordo paste 1
asked about seed treatment of paddy,recommended to treat the seeds with mancozeb 4gmkg seed
asked about weather data,recommended answer given as per data
asked about fertilizer application,recommended to apply 110gr urea 50gr p 80gr mop
asked about the fertiliser dosage for one year plants,suggeted to apply 250g urea500g ssp and 850g mop
asked about control for weeds,recommended to spray benthiocarp 2litacre
asked about varieties,recommended to choose pkm1 or jafna
asked about control for weeds,recommended to spray benthiocarp 152lit acre
asked about the weed control,recommended to spray alachlor 501litacre
asked about information on seed rate for direct sowing,recommended to apply 1620kgs seed per acre
asked about the control of fruit drop,recommended to spray potash and blitox 3 gmltr
asked about subsidies,esc to coa
asked about control for weeds,recommended to spray benthiocarp 152 lit200lit wateracre
asked about varities,reommended varity lamhybrid1
asked about control for weeds,recommended to spray benthiocorp 152litresacre
asked about subsidies information on powertiller,esc to coa
asked about control of sheath rot in paddy,recommended to spray carbendazikm 1gm1lt water
asked about weather data,aswer given as per data
asked about control for weeds,recommended to spray benthiocorp 152 litacre
asked about the control of weedicide,recommended for the application of pendimithalin 15 ltracre
assked about control of weed control in paddy,recommended to spray 24d sodium salt 25mllt water
asked about control of stem bore in paddy,recommended to spray carbofura granules 10kgacre
asked about control for weeds,recommended to spray glyphocyte 8mllit
asked about the control of leaf spot,recommended for the application of copper oxy chloride 3 gmltr
asked about the control of stem borer,recommended for the application of cartaphydrochloride 3gmltr
asked about the weather report,informed him as per the reports provided
asked about the control of weeds,recommended to spray pendimithaline 15 ltracre
asked about control for gummosis,recommended to apply bordo paste
asked about control for leaf folder,recommended to spray acephate 15 gmlit
asked about avilability of azolla,esc to atic
asked about the control of flower drop,recommended for the application 0f planophix 1 ml5ltr
asked about control of flower drop in drumstic,recommended to spray planofix 25ml10 lt water
asked about the market rate for maize in kothapet market,informed that it is rs 800quintol this is as per the reports provided to us
asked about control for stem borer damage,recommended to spray cartop hydrochloride 2grlitre
asked about control for bph,recommended to spray acephate 15grlitre
asked about the control of whitefly,recommended to spray acephate 15glit of water
asked about the control of weeds,recommended for the application of 24df 1800gmgramoxone 1ltracre
asked about the control of leaf spot,recommended for the application of blitox 3 gmltr
asked for the weather forecast of 18th august o6,informed that the sky would be partly cloudy but there is no forecast of downpore
asked for the weather forecast of 18th august o6,informed that the sky would be partly cloudy but there is no forecast of downpore
weedicide for 20 day old paddy crop,suggested spraying of 2 4 d sodium salt 400 ml per acre of crop
wanted contact no of insurance company,given contact no 25240235 of united india insurance
asked for the fertilizer application in mainfield preparation of paddy,suggested to apply 10kg urea 30kg dap 30kg mop per acre at last puddling
asked for control for shootfruit borer,recommended to spray chloripyriphos2mllit
asked about banana variety,variety suggested is tellachekarakelli
asked about the control of stemborer,recommended to spray acephate 15glit of water
asked about the control of sheath blight,recommended for the application of propiconozole 2 mlltr
asked about control of sucking pests,recommended to spray carbaryl 3gmkg seed
asked about the control of weeds,recommended to spray pendimethalin 15lacre
asked about the control of weed,recommended to spray pendimethalin 15lacre
asked about control of bph,recommended for the application of monocrotaphos 22mllit
asked about the control of stem bhorer,recomended to spray chloropyriphos25mllit
asked about the control of sucking pests,recommended for the application of dimethoate 2mllit
asked about fertiliser dosage,informed to that dosage is n 32kgp 24kgk 1620 kgacre
asked about the control of stem borer,recommended to spray chloripyriphos 25mllit of water
asked about the control of stem borer,recommended for the application of cartaphydrochloride 2gmltr
asked about the control of stem borer,recommended to spray chloropyriphos 2mllit
asked about the fertilizer dosage,informed to apply 30g urea 30g mopplant
asked about the control of weeds,recomended for the application of paraquot 40ml10lit
asked about the control of stem borer,recommended to spray chloripyriphos 25mllit of water
asked about the control of stem borer,recommended to spray chloripyriphos 25mllit of water
asked about the control of fruit borer,recommended to spray prophenophis2mllit of water
asked about the control of fruit borer,recommended to spray prophenophis2mllit of water
asked about control of stem borer,recomended for the application of chloripyriphos 2mllit
asked about control of stem borer,recomended for the application of chloripyriphos 2mllit
asked about the seed treatment,suggested to treat the seed with thiram or capton 3gkg seed
asked about the seed treatment,suggested to treat the seed with thiram or capton 3gkg seed
asked about the control for blast,recommended to spray tricyclozole 05glit of water
asked about the control for blast,recommended to spray tricyclozole 05glit of water
asked about the weather report,given the weather report to the farmer
asked about the weather report,given the weather report to the farmer
asked about the control of tungrovirus,recomended to spray carboryl 25kgha
asked about the control of tungrovirus,recomended to spray carboryl 25kgha
asked about control of sheath blight,recomended for the applicaton propichonazal 1mllit
asked about control of sheath blight,recomended for the applicaton propichonazal 1mllit
asked about the control of bph,recommended to spray monocrotophos 2mllit of water
asked about the control of bph,recomended to spray monocrotophos 22mllit
asked about the control of blast,recommended to spray tricyclozole 06glit of water
asked about weather report,informed as for the provided data
asked about the control of leaf spots,recommended for the application of blitox 3gmltr
asked about the control of tungrovirus,recomended for the application of monocrotophos 22mllit
asked about the contyrol of stem borer,recommended to spray chloripyrphos 25mllit of water
asked about the control of sheath blight,recommended to spray hexaconazole 2mllit of water
asked about the hormone for flowering,recommended for the application of naa 1ml5ltr
asked about the control of leafblotch,recomended fo9r the application of propiconazole 1mllit
asked about control of powdery mildew,recomended for the application of mancozeb 25gmlt
asked about the cm pashu kranthi schemes,informed as per provided data
asked about control of bph,recomended for the application of monocrotophas 22mllit
asked about the control of white flies in cotton,recommended to spray profenophos 2mllit
asked about the control of blast,recomended to spray tricyclozole 06glit
asked about the control of bph in rice,recommended to spray ethofenphos 15mllit
asked about control of sheath rot in rice,recommended to spray benomil 05 grlit
asked about the control of tobacco caterpillar,recommended to spray endosulphan 2mllit
asked about the control of citrus canker,recommended to spray streptocyclin 1g blitox 30g per 10 lit of water
asked about for zn defficiency,recommended to spray znso4 2glit of water
asked about the control of pink borer,recommended to spray endosulphan 2 mllit2 times in 20 days
asked about control of zinc deficency,recomended for the application of zinc sulphate 2gmlit
asked about control choanephora blight,recomended for the application of coc 3gmlit
asked about the control of sheath blight,recommended to spray hexaconazole 2mllit of water
asked about the remedy for the zn defficiency,recommended to spray znso4 2glit of water
asked about control of bph,recommended for the application of monocrotophos 22mllit
asked about control of stem borer,recommended for the application of monocrotophos 16mllit
asked about the control of aphids,recommended to spray methyldemeton 2 mllit
asked about the control of sucking pests,recommended to spray fasalon 2 mllit
asked about the control of white fly,recommended to spray triazophos 25 mllit
asked about the control of bph,recomended to spray carboryl 3gm lit
asked about the control of tobacco caterpillar,recomended to spray chloripyripos 2mllit
asked about the control of wilt,recommended to drain out water immediatlyraise lbg611
asked about the control of sheath blight,recommended to spray hexaconazole 2mllit of water
